"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Crown Heights South,Black,2008,Percent,0.18965,309
Pelham Parkway,All Races and Ethnicities,2012,Percent,0.1897,211
Crown Heights South,White,2012,Percent,0.18987,309
Coney Island,Asian,2011,Percent,0.19006,313
Astoria,All Races and Ethnicities,2011,Percent,0.19077,401
The Rockaways,All Races and Ethnicities,2012,Percent,0.19103,414
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2011,Percent,0.19142,302
Elmhurst/Corona,Asian,2011,Percent,0.1919,404
Williamsbridge,All Races and Ethnicities,2011,Percent,0.19214,212
Upper West Side,Asian,2011,Percent,0.19231,107
Mott Haven,White,2008,Percent,0.19252,201
Hunts Point,White,2008,Percent,0.19252,202
Flatbush/Midwood,White,2008,Percent,0.19259,314
Williamsbridge,Black,2012,Percent,0.19282,212
Astoria,Latino,2012,Percent,0.19292,401
Sheepshead Bay,Asian,2008,Percent,0.19332,315
Howard Beach,Latino,2012,Percent,0.19372,410
Brooklyn,White,2011,Percent,0.19428,36047
Brooklyn,Asian,2011,Percent,0.1955,36047
Sheepshead Bay,All Races and Ethnicities,2012,Percent,0.19581,315
Sunnyside/Woodside,Latino,2012,Percent,0.19591,402
Queens,Asian,2012,Percent,0.19597,36081
Upper East Side,Black,2012,Percent,0.19627,108
Bay Ridge,Asian,2012,Percent,0.19631,310
Flatbush/Midwood,All Races and Ethnicities,2012,Percent,0.19638,314
Borough Park,Black,2008,Percent,0.19711,312
Jackson Heights,All Races and Ethnicities,2008,Percent,0.19719,403
Bay Ridge,Latino,2008,Percent,0.19721,310
Jackson Heights,White,2012,Percent,0.19778,403
Manhattan,Asian,2011,Percent,0.19875,36061
Murray Hill/Stuyvesant,Latino,2008,Percent,0.1996,106
Canarsie,Latino,2012,Percent,0.19997,318
Astoria,Asian,2012,Percent,0.20016,401
Throgs Neck,Black,2012,Percent,0.20028,210
Pelham Parkway,Black,2008,Percent,0.20063,211
Pelham Parkway,All Races and Ethnicities,2011,Percent,0.20211,211
Brooklyn,White,2012,Percent,0.20254,36047
Ridgewood/Glendale,Latino,2012,Percent,0.20282,405
Unionport/Soundview,All Races and Ethnicities,2008,Percent,0.20293,209
Manhattanville,Black,2012,Percent,0.20311,109
Williamsbridge,Latino,2008,Percent,0.20322,212
Crown Heights South,All Races and Ethnicities,2008,Percent,0.20343,309
Crown Heights North,Asian,2011,Percent,0.20346,308
St. George,Black,2011,Percent,0.2037,501
New York City,All Races and Ethnicities,2011,Percent,0.20377,3651000
New York City,Black,2008,Percent,0.20463,3651000
Upper West Side,Latino,2008,Percent,0.20561,107
Fresh Meadows/Briarwood,Black,2011,Percent,0.20566,408
Battery Park/Tribeca,Asian,2012,Percent,0.20597,101
Greenwich Village,Asian,2012,Percent,0.20597,102
Sunset Park,Asian,2011,Percent,0.20598,307
St. George,Asian,2012,Percent,0.20611,501
Queens,Latino,2011,Percent,0.20709,36081
Howard Beach,Asian,2012,Percent,0.20711,410
Brooklyn,All Races and Ethnicities,2008,Percent,0.20734,36047
Upper West Side,Black,2011,Percent,0.20764,107
Crown Heights South,Black,2012,Percent,0.20791,309
Pelham Parkway,All Races and Ethnicities,2008,Percent,0.20807,211
Upper West Side,Black,2012,Percent,0.20898,107
Bushwick,Black,2012,Percent,0.20902,304
The Rockaways,Black,2012,Percent,0.20902,414
Flushing,Black,2011,Percent,0.20919,407
The Rockaways,All Races and Ethnicities,2011,Percent,0.2092,414
New York City,All Races and Ethnicities,2012,Percent,0.2095,3651000
Battery Park/Tribeca,Asian,2008,Percent,0.20976,101
Greenwich Village,Asian,2008,Percent,0.20976,102
Crown Heights South,All Races and Ethnicities,2011,Percent,0.20986,309
Bushwick,White,2012,Percent,0.20988,304
Murray Hill/Stuyvesant,Black,2012,Percent,0.21019,106
Bayside,Latino,2011,Percent,0.21043,411
Pelham Parkway,Black,2012,Percent,0.21097,211
Tottenville,Asian,2012,Percent,0.21109,503
Pelham Parkway,Asian,2011,Percent,0.21121,211
Bushwick,Asian,2012,Percent,0.21148,304
Astoria,Latino,2008,Percent,0.21198,401
Elmhurst/Corona,Asian,2012,Percent,0.21286,404
East Harlem,Black,2008,Percent,0.21342,111
Brooklyn,Black,2008,Percent,0.21376,36047
Flatbush/Midwood,Black,2008,Percent,0.21409,314
Pelham Parkway,Latino,2012,Percent,0.21477,211
Manhattan,Asian,2012,Percent,0.21482,36061
Mott Haven,White,2011,Percent,0.21489,201
Hunts Point,White,2011,Percent,0.21489,202
Crown Heights South,Black,2011,Percent,0.21489,309
Queens,Latino,2012,Percent,0.21499,36081
Elmhurst/Corona,All Races and Ethnicities,2011,Percent,0.21538,404
Pelham Parkway,Asian,2012,Percent,0.21563,211
Jackson Heights,Latino,2008,Percent,0.21573,403
Sunnyside/Woodside,Asian,2011,Percent,0.21635,402
New York City,Black,2011,Percent,0.21667,3651000
Battery Park/Tribeca,Black,2008,Percent,0.21697,101
Greenwich Village,Black,2008,Percent,0.21697,102
Brooklyn,Black,2012,Percent,0.21723,36047
Crown Heights North,Black,2008,Percent,0.21758,308
Washington Heights,All Races and Ethnicities,2008,Percent,0.21768,112
Bushwick,White,2011,Percent,0.21912,304
Manhattan,Asian,2008,Percent,0.21934,36061
Williamsbridge,All Races and Ethnicities,2012,Percent,0.21938,212
Riverdale,Latino,2011,Percent,0.21939,208
New York City,Black,2012,Percent,0.21968,3651000
Flatbush/Midwood,All Races and Ethnicities,2011,Percent,0.22126,314
Bensonhurst,All Races and Ethnicities,2012,Percent,0.22153,311
Coney Island,White,2011,Percent,0.22216,313
The Rockaways,Latino,2012,Percent,0.22311,414
St. George,Latino,2011,Percent,0.22331,501
Jackson Heights,Asian,2012,Percent,0.22341,403
Fort Greene/Brooklyn Hts,Asian,2012,Percent,0.22343,302
Unionport/Soundview,Black,2012,Percent,0.22344,209
New York City,Asian,2012,Percent,0.22351,3651000
Astoria,Black,2012,Percent,0.22406,401
Upper West Side,Latino,2012,Percent,0.22411,107
Jackson Heights,All Races and Ethnicities,2011,Percent,0.22449,403
Flatbush/Midwood,Latino,2011,Percent,0.22494,314
Sheepshead Bay,Asian,2012,Percent,0.22647,315
Bedford Stuyvesant,Asian,2011,Percent,0.22765,303
Coney Island,White,2012,Percent,0.22815,313
Bedford Stuyvesant,Black,2012,Percent,0.22907,303
Astoria,Black,2008,Percent,0.22908,401
Manhattanville,Asian,2011,Percent,0.22971,109
Bensonhurst,Latino,2011,Percent,0.23053,311
Flatbush/Midwood,Latino,2012,Percent,0.23096,314
Brownsville,White,2008,Percent,0.23162,316
Park Slope,Black,2012,Percent,0.23188,306
Bedford Park,Asian,2012,Percent,0.23274,207
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2008,Percent,0.23486,302
The Rockaways,Asian,2011,Percent,0.23494,414
East Harlem,All Races and Ethnicities,2008,Percent,0.23565,111
Brooklyn,All Races and Ethnicities,2011,Percent,0.23606,36047
Sunset Park,All Races and Ethnicities,2011,Percent,0.23636,307
Central Harlem,Black,2008,Percent,0.2365,110
Bronx,Black,2008,Percent,0.23707,36005
Pelham Parkway,Latino,2008,Percent,0.23745,211
Brooklyn,Black,2011,Percent,0.23782,36047
Fresh Meadows/Briarwood,Asian,2012,Percent,0.23785,408
Jackson Heights,Black,2008,Percent,0.23786,403
Borough Park,Latino,2008,Percent,0.2384,312
Fresh Meadows/Briarwood,Black,2012,Percent,0.23843,408
Borough Park,Asian,2011,Percent,0.23847,312
Concourse/Highbridge,Black,2012,Percent,0.2387,204
Flatbush/Midwood,White,2011,Percent,0.23877,314
Brooklyn,All Races and Ethnicities,2012,Percent,0.23931,36047
Sunset Park,Latino,2008,Percent,0.23959,307
Crown Heights South,All Races and Ethnicities,2012,Percent,0.23999,309
Riverdale,Latino,2012,Percent,0.24021,208
Astoria,Asian,2008,Percent,0.24026,401
Bronx,Asian,2012,Percent,0.24042,36005
Sunset Park,Black,2011,Percent,0.24082,307
Washington Heights,Black,2011,Percent,0.24112,112
Bronx,Asian,2011,Percent,0.24181,36005
Bedford Park,Black,2011,Percent,0.24189,207
East New York,Black,2012,Percent,0.24196,305
Sunset Park,All Races and Ethnicities,2008,Percent,0.2423,307
Jackson Heights,All Races and Ethnicities,2012,Percent,0.24231,403
Washington Heights,Latino,2008,Percent,0.24338,112
Bronx,Black,2011,Percent,0.24348,36005
Manhattanville,All Races and Ethnicities,2011,Percent,0.24416,109
East Flatbush,Latino,2012,Percent,0.24471,317
Mott Haven,White,2012,Percent,0.24473,201
Hunts Point,White,2012,Percent,0.24473,202
Howard Beach,Asian,2011,Percent,0.24509,410
Crown Heights South,White,2008,Percent,0.2454,309
St. George,Latino,2008,Percent,0.24582,501
Bedford Park,White,2012,Percent,0.2459,207
Upper West Side,Black,2008,Percent,0.24597,107
Crown Heights North,All Races and Ethnicities,2008,Percent,0.24629,308
Bedford Stuyvesant,Black,2008,Percent,0.24719,303
Lower East Side,All Races and Ethnicities,2008,Percent,0.24738,103
Manhattan,Black,2012,Percent,0.24774,36061
Unionport/Soundview,Latino,2008,Percent,0.24876,209
Washington Heights,All Races and Ethnicities,2012,Percent,0.24879,112
Fort Greene/Brooklyn Hts,Black,2011,Percent,0.24879,302
Central Harlem,All Races and Ethnicities,2011,Percent,0.2493,110
Bushwick,Latino,2008,Percent,0.24984,304
Elmhurst/Corona,Asian,2008,Percent,0.25002,404
Canarsie,Latino,2011,Percent,0.25003,318
Staten Island,Black,2008,Percent,0.25043,36085
East New York,Latino,2008,Percent,0.2509,305
St. George,Latino,2012,Percent,0.25099,501
Lower East Side,All Races and Ethnicities,2012,Percent,0.25162,103
Central Harlem,Black,2011,Percent,0.25178,110
Borough Park,All Races and Ethnicities,2008,Percent,0.25223,312
Elmhurst/Corona,Latino,2011,Percent,0.25266,404
New York City,Latino,2008,Percent,0.25307,3651000
East Harlem,Latino,2008,Percent,0.25325,111
Borough Park,White,2008,Percent,0.25363,312
Manhattanville,Asian,2012,Percent,0.25377,109
Pelham Parkway,Asian,2008,Percent,0.2546,211
Fort Greene/Brooklyn Hts,Black,2008,Percent,0.2547,302
Jamaica/St. Albans,Latino,2011,Percent,0.25498,412
St. George,Black,2008,Percent,0.25519,501
Chelsea/Clinton,Black,2012,Percent,0.25649,104
Midtown Business District,Black,2012,Percent,0.25649,105
Coney Island,Latino,2008,Percent,0.25679,313
Bronx,Asian,2008,Percent,0.25732,36005
Jackson Heights,Latino,2012,Percent,0.25753,403
Lower East Side,All Races and Ethnicities,2011,Percent,0.25767,103
Bushwick,All Races and Ethnicities,2008,Percent,0.25786,304
Brooklyn,Latino,2008,Percent,0.25789,36047
Unionport/Soundview,All Races and Ethnicities,2011,Percent,0.2579,209
Manhattanville,Latino,2011,Percent,0.25938,109
Unionport/Soundview,Asian,2012,Percent,0.25943,209
Washington Heights,All Races and Ethnicities,2011,Percent,0.25965,112
Manhattan,Latino,2008,Percent,0.25979,36061
Sunnyside/Woodside,Asian,2012,Percent,0.26005,402
Morrisania,Asian,2012,Percent,0.26117,203
East Tremont,Asian,2012,Percent,0.26117,206
Central Harlem,Black,2012,Percent,0.26151,110
Manhattan,Black,2008,Percent,0.2632,36061
Crown Heights North,All Races and Ethnicities,2012,Percent,0.26338,308
Astoria,Black,2011,Percent,0.26343,401
Bedford Stuyvesant,Black,2011,Percent,0.26384,303
Bay Ridge,Black,2011,Percent,0.26415,310
Bronx,Black,2012,Percent,0.2645,36005
Elmhurst/Corona,All Races and Ethnicities,2012,Percent,0.26692,404
St. George,Asian,2011,Percent,0.26795,501
Coney Island,All Races and Ethnicities,2011,Percent,0.26804,313
Borough Park,Latino,2011,Percent,0.26854,312
Bedford Park,All Races and Ethnicities,2012,Percent,0.26865,207
Woodhaven,Asian,2011,Percent,0.26924,409
Bay Ridge,Black,2012,Percent,0.26953,310
Mott Haven,Asian,2008,Percent,0.26994,201
Hunts Point,Asian,2008,Percent,0.26994,202
Bushwick,Asian,2011,Percent,0.27035,304
East New York,All Races and Ethnicities,2012,Percent,0.27036,305
The Rockaways,Latino,2008,Percent,0.27064,414
Lower East Side,Asian,2008,Percent,0.27202,103
Unionport/Soundview,White,2011,Percent,0.2723,209
Borough Park,Asian,2008,Percent,0.27244,312
Concourse/Highbridge,Black,2008,Percent,0.27286,204
Manhattan,Black,2011,Percent,0.27352,36061
Bronx,All Races and Ethnicities,2008,Percent,0.27371,36005
East Harlem,All Races and Ethnicities,2011,Percent,0.2738,111
Jamaica/St. Albans,Asian,2012,Percent,0.27388,412
Riverdale,Latino,2008,Percent,0.27436,208
Crown Heights North,White,2008,Percent,0.27454,308
Park Slope,Latino,2012,Percent,0.27464,306
Manhattanville,All Races and Ethnicities,2008,Percent,0.27505,109
Jamaica/St. Albans,Latino,2012,Percent,0.2756,412
Coney Island,All Races and Ethnicities,2012,Percent,0.2758,313
Jackson Heights,Latino,2011,Percent,0.27591,403
University Heights,White,2011,Percent,0.27596,205
Central Harlem,All Races and Ethnicities,2008,Percent,0.27637,110
Pelham Parkway,Latino,2011,Percent,0.2765,211
Ridgewood/Glendale,Black,2011,Percent,0.27815,405
Elmhurst/Corona,Latino,2012,Percent,0.2789,404
Borough Park,Latino,2012,Percent,0.27914,312
Crown Heights North,All Races and Ethnicities,2011,Percent,0.27955,308
Bedford Stuyvesant,All Races and Ethnicities,2008,Percent,0.27977,303
Canarsie,Latino,2008,Percent,0.27996,318
Ridgewood/Glendale,Latino,2011,Percent,0.27998,405
Williamsburg/Greenpoint,Asian,2012,Percent,0.28005,301
Crown Heights North,Black,2012,Percent,0.28037,308
Central Harlem,All Races and Ethnicities,2012,Percent,0.28056,110
East New York,Latino,2012,Percent,0.2806,305
South Beach,Black,2008,Percent,0.2807,502
Borough Park,Asian,2012,Percent,0.2812,312
Washington Heights,Latino,2012,Percent,0.28137,112
Canarsie,Asian,2011,Percent,0.28168,318
Unionport/Soundview,All Races and Ethnicities,2012,Percent,0.28192,209
Bensonhurst,Asian,2012,Percent,0.282,311
Riverdale,Black,2008,Percent,0.28249,208
Lower East Side,Latino,2008,Percent,0.28399,103
Staten Island,Black,2012,Percent,0.28402,36085
Concourse/Highbridge,White,2011,Percent,0.28456,204
Crown Heights North,Black,2011,Percent,0.28497,308
Manhattan,Latino,2011,Percent,0.28545,36061
East New York,All Races and Ethnicities,2008,Percent,0.28562,305
Sheepshead Bay,Latino,2012,Percent,0.28715,315
Sheepshead Bay,Black,2008,Percent,0.289,315
Manhattanville,Black,2008,Percent,0.28973,109
Throgs Neck,Asian,2012,Percent,0.29068,210
Williamsburg/Greenpoint,White,2011,Percent,0.29102,301
Brooklyn,Asian,2012,Percent,0.29142,36047
Murray Hill/Stuyvesant,Latino,2012,Percent,0.29285,106
Concourse/Highbridge,Asian,2011,Percent,0.29301,204
Bushwick,Black,2008,Percent,0.29327,304
Central Harlem,Latino,2011,Percent,0.29344,110
Crown Heights North,Latino,2012,Percent,0.29348,308
East Harlem,Black,2011,Percent,0.29376,111
New York City,Latino,2011,Percent,0.29525,3651000
Brownsville,Black,2008,Percent,0.29544,316
Bronx,All Races and Ethnicities,2011,Percent,0.29549,36005
Bronx,All Races and Ethnicities,2012,Percent,0.29644,36005
Unionport/Soundview,Latino,2011,Percent,0.29699,209
New York City,Latino,2012,Percent,0.29735,3651000
Bedford Stuyvesant,All Races and Ethnicities,2012,Percent,0.29823,303
Chelsea/Clinton,Latino,2011,Percent,0.29896,104
Midtown Business District,Latino,2011,Percent,0.29896,105
Astoria,Asian,2011,Percent,0.29957,401
Ridgewood/Glendale,Asian,2012,Percent,0.3005,405
Bedford Stuyvesant,Latino,2008,Percent,0.3007,303
Borough Park,All Races and Ethnicities,2011,Percent,0.30111,312
Sunset Park,Latino,2011,Percent,0.30197,307
Morrisania,Black,2008,Percent,0.30372,203
East Tremont,Black,2008,Percent,0.30372,206
Sunset Park,Asian,2008,Percent,0.30397,307
East Harlem,All Races and Ethnicities,2012,Percent,0.30467,111
Washington Heights,Latino,2011,Percent,0.30482,112
Unionport/Soundview,Latino,2012,Percent,0.30555,209
Williamsburg/Greenpoint,White,2012,Percent,0.3057,301
Crown Heights South,Latino,2008,Percent,0.30656,309
Williamsburg/Greenpoint,Latino,2008,Percent,0.30736,301
Bedford Park,All Races and Ethnicities,2008,Percent,0.30884,207
St. George,Black,2012,Percent,0.30922,501
Bedford Stuyvesant,All Races and Ethnicities,2011,Percent,0.3094,303
East New York,White,2008,Percent,0.31021,305
Bedford Stuyvesant,Latino,2012,Percent,0.31069,303
Manhattanville,All Races and Ethnicities,2012,Percent,0.31159,109
East New York,Asian,2011,Percent,0.31192,305
Sunset Park,All Races and Ethnicities,2012,Percent,0.31205,307
Bedford Park,Latino,2012,Percent,0.31234,207
Bushwick,All Races and Ethnicities,2012,Percent,0.31239,304
Williamsburg/Greenpoint,White,2008,Percent,0.31377,301
East New York,Black,2008,Percent,0.3138,305
Manhattan,Latino,2012,Percent,0.31492,36061
Brooklyn,Latino,2012,Percent,0.31547,36047
Riverdale,Black,2011,Percent,0.31561,208
Jamaica/St. Albans,Asian,2011,Percent,0.31592,412
Borough Park,White,2011,Percent,0.31627,312
Williamsburg/Greenpoint,All Races and Ethnicities,2008,Percent,0.31806,301
Lower East Side,Black,2012,Percent,0.31825,103
Coney Island,Latino,2012,Percent,0.31849,313
Upper West Side,Asian,2008,Percent,0.32,107
East Harlem,Latino,2011,Percent,0.32078,111
Bedford Park,Latino,2008,Percent,0.32084,207
Unionport/Soundview,Asian,2011,Percent,0.32093,209
Williamsburg/Greenpoint,All Races and Ethnicities,2011,Percent,0.32141,301
Brownsville,Latino,2012,Percent,0.32181,316
Lower East Side,Latino,2011,Percent,0.32222,103
Lower East Side,Asian,2011,Percent,0.32225,103
Brownsville,All Races and Ethnicities,2008,Percent,0.32281,316
Brownsville,Black,2011,Percent,0.32396,316
East Harlem,Black,2012,Percent,0.32517,111
Park Slope,Black,2008,Percent,0.32532,306
Lower East Side,Latino,2012,Percent,0.3255,103
Bedford Park,Black,2008,Percent,0.32552,207
Bushwick,Black,2011,Percent,0.32682,304
Morrisania,Black,2011,Percent,0.32815,203
East Tremont,Black,2011,Percent,0.32815,206
Williamsbridge,Asian,2008,Percent,0.33129,212
East Flatbush,White,2011,Percent,0.33129,317
Brooklyn,Latino,2011,Percent,0.33233,36047
Bushwick,All Races and Ethnicities,2011,Percent,0.33323,304
Crown Heights South,Asian,2012,Percent,0.33333,309
Washington Heights,Asian,2012,Percent,0.33365,112
Brownsville,All Races and Ethnicities,2012,Percent,0.33484,316
Williamsburg/Greenpoint,All Races and Ethnicities,2012,Percent,0.3353,301
Sheepshead Bay,Black,2011,Percent,0.33562,315
Manhattanville,Black,2011,Percent,0.33624,109
University Heights,Black,2012,Percent,0.33639,205
Williamsburg/Greenpoint,Black,2012,Percent,0.3377,301
Sunset Park,Latino,2012,Percent,0.33947,307
Bronx,Latino,2008,Percent,0.34095,36005
Borough Park,All Races and Ethnicities,2012,Percent,0.34123,312
Mott Haven,Asian,2011,Percent,0.34132,201
Hunts Point,Asian,2011,Percent,0.34132,202
Upper East Side,Black,2008,Percent,0.34164,108
Mott Haven,Black,2011,Percent,0.34218,201
Hunts Point,Black,2011,Percent,0.34218,202
Williamsbridge,Latino,2011,Percent,0.34335,212
East New York,Latino,2011,Percent,0.34432,305
Bedford Park,All Races and Ethnicities,2011,Percent,0.34492,207
Upper West Side,Latino,2011,Percent,0.34644,107
Flatbush/Midwood,Asian,2011,Percent,0.34712,314
Borough Park,Black,2011,Percent,0.35172,312
Bushwick,Latino,2011,Percent,0.35319,304
The Rockaways,Latino,2011,Percent,0.3541,414
Lower East Side,Asian,2012,Percent,0.35426,103
Brownsville,Black,2012,Percent,0.35602,316
Bronx,Latino,2012,Percent,0.35615,36005
Coney Island,Asian,2012,Percent,0.3575,313
Williamsbridge,Latino,2012,Percent,0.35786,212
University Heights,Asian,2012,Percent,0.35983,205
Concourse/Highbridge,All Races and Ethnicities,2012,Percent,0.3609,204
Bushwick,Latino,2012,Percent,0.36124,304
Morrisania,Asian,2008,Percent,0.36155,203
East Tremont,Asian,2008,Percent,0.36155,206
University Heights,All Races and Ethnicities,2008,Percent,0.36291,205
Bronx,Latino,2011,Percent,0.3633,36005
Bedford Stuyvesant,Asian,2008,Percent,0.3645,303
University Heights,Black,2008,Percent,0.36557,205
Fort Greene/Brooklyn Hts,Latino,2011,Percent,0.36916,302
East New York,All Races and Ethnicities,2011,Percent,0.36931,305
University Heights,Black,2011,Percent,0.3703,205
Manhattanville,Latino,2008,Percent,0.37039,109
Concourse/Highbridge,Black,2011,Percent,0.37118,204
Brownsville,All Races and Ethnicities,2011,Percent,0.37268,316
Chelsea/Clinton,Black,2011,Percent,0.37377,104
Midtown Business District,Black,2011,Percent,0.37377,105
Borough Park,White,2012,Percent,0.3739,312
Lower East Side,Black,2011,Percent,0.37402,103
East New York,White,2012,Percent,0.37436,305
The Rockaways,Asian,2012,Percent,0.37509,414
University Heights,Latino,2008,Percent,0.37748,205
Concourse/Highbridge,All Races and Ethnicities,2008,Percent,0.37864,204
East New York,Black,2011,Percent,0.38077,305
Bedford Stuyvesant,White,2008,Percent,0.38516,303
University Heights,All Races and Ethnicities,2011,Percent,0.38624,205
East Harlem,Latino,2012,Percent,0.38881,111
Crown Heights North,Asian,2012,Percent,0.38914,308
Coney Island,Black,2011,Percent,0.38968,313
Throgs Neck,Asian,2008,Percent,0.38973,210
