"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Pelham - Throgs Neck,0 to 4 years,2013,Rate,131.9,uhf104
Pelham - Throgs Neck,5 to 17 Years,2013,Number,238,uhf104
Pelham - Throgs Neck,5 to 17 Years,2013,Rate,46,uhf104
Port  Richmond,0 to 4 years,2013,Rate,56.8,uhf501
Port  Richmond,0 to 4 years,2013,Number,30,uhf501
Port  Richmond,5 to 17 Years,2013,Number,34,uhf501
Port  Richmond,5 to 17 Years,2013,Rate,25.3,uhf501
Queens,0 to 4 years,2013,Rate,45.1,36081
Queens,0 to 4 years,2013,Number,648,36081
Queens,5 to 17 Years,2013,Number,591,36081
Queens,5 to 17 Years,2013,Rate,18.2,36081
Ridgewood - Forest Hills,0 to 4 years,2013,Rate,29.2,uhf405
Ridgewood - Forest Hills,0 to 4 years,2013,Number,46,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2013,Number,41,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2013,Rate,12.6,uhf405
Rockaway,0 to 4 years,2013,Number,46,uhf410
Rockaway,0 to 4 years,2013,Rate,49.5,uhf410
Rockaway,5 to 17 Years,2013,Number,40,uhf410
Rockaway,5 to 17 Years,2013,Rate,18.2,uhf410
South Beach - Tottenville,0 to 4 years,2013,Number,17,uhf504
South Beach - Tottenville,0 to 4 years,2013,Rate,16.9,uhf504
South Beach - Tottenville,5 to 17 Years,2013,Number,22,uhf504
South Beach - Tottenville,5 to 17 Years,2013,Rate,6.9,uhf504
Southeast Queens,0 to 4 years,2013,Rate,68.4,uhf409
Southeast Queens,0 to 4 years,2013,Number,74,uhf409
Southeast Queens,5 to 17 Years,2013,Number,84,uhf409
Southeast Queens,5 to 17 Years,2013,Rate,26.7,uhf409
Southwest Queens,0 to 4 years,2013,Rate,57.8,uhf407
Southwest Queens,0 to 4 years,2013,Number,101,uhf407
Southwest Queens,5 to 17 Years,2013,Number,80,uhf407
Southwest Queens,5 to 17 Years,2013,Rate,17,uhf407
Stapleton - St. George,0 to 4 years,2013,Number,35,uhf502
Stapleton - St. George,0 to 4 years,2013,Rate,46.3,uhf502
Stapleton - St. George,5 to 17 Years,2013,Number,42,uhf502
Stapleton - St. George,5 to 17 Years,2013,Rate,20.9,uhf502
Staten Island,0 to 4 years,2013,Number,94,36085
Staten Island,0 to 4 years,2013,Rate,34,36085
Staten Island,5 to 17 Years,2013,Number,105,36085
Staten Island,5 to 17 Years,2013,Rate,13.4,36085
Sunset Park,0 to 4 years,2013,Number,25,uhf205
Sunset Park,0 to 4 years,2013,Rate,22.1,uhf205
Sunset Park,5 to 17 Years,2013,Number,38,uhf205
Sunset Park,5 to 17 Years,2013,Rate,19.1,uhf205
Union Square - Lower East Side,0 to 4 years,2013,Rate,39.5,uhf309
Union Square - Lower East Side,0 to 4 years,2013,Number,32,uhf309
Union Square - Lower East Side,5 to 17 Years,2013,Number,35,uhf309
Union Square - Lower East Side,5 to 17 Years,2013,Rate,21.8,uhf309
Upper East Side,0 to 4 years,2013,Rate,23,uhf305
Upper East Side,0 to 4 years,2013,Number,28,uhf305
Upper East Side,5 to 17 Years,2013,Number,13,uhf305
Upper East Side,5 to 17 Years,2013,Rate,6.5,uhf305
Upper West Side,0 to 4 years,2013,Number,37,uhf304
Upper West Side,0 to 4 years,2013,Rate,29.5,uhf304
Upper West Side,5 to 17 Years,2013,Number,19,uhf304
Upper West Side,5 to 17 Years,2013,Rate,9.4,uhf304
Washington Heights - Inwood,0 to 4 years,2013,Rate,49.5,uhf301
Washington Heights - Inwood,0 to 4 years,2013,Number,76,uhf301
Washington Heights - Inwood,5 to 17 Years,2013,Number,85,uhf301
Washington Heights - Inwood,5 to 17 Years,2013,Rate,24.6,uhf301
West Queens,0 to 4 years,2013,Number,103,uhf402
West Queens,0 to 4 years,2013,Rate,29.6,uhf402
West Queens,5 to 17 Years,2013,Number,99,uhf402
West Queens,5 to 17 Years,2013,Rate,15.2,uhf402
Williamsburg - Bushwick,0 to 4 years,2013,Number,124,uhf211
Williamsburg - Bushwick,0 to 4 years,2013,Rate,73.1,uhf211
Williamsburg - Bushwick,5 to 17 Years,2013,Number,168,uhf211
Williamsburg - Bushwick,5 to 17 Years,2013,Rate,43.3,uhf211
Willowbrook,0 to 4 years,2013,Rate,25.4,uhf503
Willowbrook,0 to 4 years,2013,Number,12,uhf503
Willowbrook,5 to 17 Years,2013,Number,0,uhf503
Willowbrook,5 to 17 Years,2013,Rate,0.8,uhf503
Bayside - Little Neck,0 to 4 years,2014,Number,8,uhf404
Bayside - Little Neck,0 to 4 years,2014,Rate,17.8,uhf404
Bayside - Little Neck,5 to 17 Years,2014,Number,13,uhf404
Bayside - Little Neck,5 to 17 Years,2014,Rate,10.2,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2014,Number,296,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2014,Rate,122.5,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2014,Number,311,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2014,Rate,59.9,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2014,Number,17,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2014,Rate,12,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2014,Number,0,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2014,Rate,2.4,uhf209
Borough Park,0 to 4 years,2014,Rate,10.5,uhf206
Borough Park,0 to 4 years,2014,Number,37,uhf206
Borough Park,5 to 17 Years,2014,Number,36,uhf206
Borough Park,5 to 17 Years,2014,Rate,5.3,uhf206
Bronx,0 to 4 years,2014,Rate,144,36005
Bronx,0 to 4 years,2014,Number,1569,36005
Bronx,5 to 17 Years,2014,Number,1691,36005
Bronx,5 to 17 Years,2014,Rate,65.6,36005
Brooklyn,0 to 4 years,2014,Number,1147,36047
Brooklyn,0 to 4 years,2014,Rate,57.5,36047
Brooklyn,5 to 17 Years,2014,Number,1155,36047
Brooklyn,5 to 17 Years,2014,Rate,28.2,36047
Canarsie - Flatlands,0 to 4 years,2014,Rate,70,uhf208
Canarsie - Flatlands,0 to 4 years,2014,Number,89,uhf208
Canarsie - Flatlands,5 to 17 Years,2014,Number,70,uhf208
Canarsie - Flatlands,5 to 17 Years,2014,Rate,20.8,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2014,Number,112,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2014,Rate,107.5,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2014,Number,121,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2014,Rate,51,uhf302
Chelsea - Clinton,0 to 4 years,2014,Number,12,uhf306
Chelsea - Clinton,0 to 4 years,2014,Rate,22.6,uhf306
Chelsea - Clinton,5 to 17 Years,2014,Number,20,uhf306
Chelsea - Clinton,5 to 17 Years,2014,Rate,27.3,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2014,Rate,23.1,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2014,Number,44,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2014,Number,38,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2014,Rate,9.5,uhf210
Crotona - Tremont,0 to 4 years,2014,Rate,146.4,uhf105
Crotona - Tremont,0 to 4 years,2014,Number,271,uhf105
Crotona - Tremont,5 to 17 Years,2014,Number,296,uhf105
Crotona - Tremont,5 to 17 Years,2014,Rate,67.6,uhf105
Downtown  - Heights - Slope,0 to 4 years,2014,Rate,37,uhf202
Downtown  - Heights - Slope,0 to 4 years,2014,Number,66,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2014,Number,55,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2014,Rate,20.1,uhf202
East Flatbush - Flatbush,0 to 4 years,2014,Number,231,uhf207
East Flatbush - Flatbush,0 to 4 years,2014,Rate,109.2,uhf207
East Flatbush - Flatbush,5 to 17 Years,2014,Number,229,uhf207
East Flatbush - Flatbush,5 to 17 Years,2014,Rate,49.7,uhf207
East Harlem,0 to 4 years,2014,Rate,170.8,uhf303
East Harlem,0 to 4 years,2014,Number,129,uhf303
East Harlem,5 to 17 Years,2014,Number,110,uhf303
East Harlem,5 to 17 Years,2014,Rate,66.4,uhf303
East New York,0 to 4 years,2014,Rate,112.4,uhf204
East New York,0 to 4 years,2014,Number,178,uhf204
East New York,5 to 17 Years,2014,Number,188,uhf204
East New York,5 to 17 Years,2014,Rate,51.5,uhf204
Flushing - Clearview,0 to 4 years,2014,Rate,32.1,uhf403
Flushing - Clearview,0 to 4 years,2014,Number,46,uhf403
Flushing - Clearview,5 to 17 Years,2014,Number,29,uhf403
Flushing - Clearview,5 to 17 Years,2014,Rate,9.5,uhf403
Fordham - Bronx Park,0 to 4 years,2014,Rate,142.8,uhf103
Fordham - Bronx Park,0 to 4 years,2014,Number,303,uhf103
Fordham - Bronx Park,5 to 17 Years,2014,Number,345,uhf103
Fordham - Bronx Park,5 to 17 Years,2014,Rate,74.5,uhf103
Fresh Meadows,0 to 4 years,2014,Number,20,uhf406
Fresh Meadows,0 to 4 years,2014,Rate,28.3,uhf406
Fresh Meadows,5 to 17 Years,2014,Number,14,uhf406
Fresh Meadows,5 to 17 Years,2014,Rate,9.7,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2014,Rate,28,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2014,Number,14,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2014,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2014,Rate,14.2,uhf307
Greenpoint,0 to 4 years,2014,Number,25,uhf201
Greenpoint,0 to 4 years,2014,Rate,24.3,uhf201
Greenpoint,5 to 17 Years,2014,Number,21,uhf201
Greenpoint,5 to 17 Years,2014,Rate,10.9,uhf201
Greenwich Village - Soho,0 to 4 years,2014,Number,4,uhf308
Greenwich Village - Soho,0 to 4 years,2014,Rate,10.7,uhf308
Greenwich Village - Soho,5 to 17 Years,2014,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2014,Rate,7.4,uhf308
High Bridge - Morrisania,0 to 4 years,2014,Number,323,uhf106
High Bridge - Morrisania,0 to 4 years,2014,Rate,177.8,uhf106
High Bridge - Morrisania,5 to 17 Years,2014,Number,301,uhf106
High Bridge - Morrisania,5 to 17 Years,2014,Rate,69.3,uhf106
Hunts Point - Mott Haven,0 to 4 years,2014,Rate,197.4,uhf107
Hunts Point - Mott Haven,0 to 4 years,2014,Number,240,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2014,Number,238,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2014,Rate,82,uhf107
Jamaica,0 to 4 years,2014,Number,153,uhf408
Jamaica,0 to 4 years,2014,Rate,79.9,uhf408
Jamaica,5 to 17 Years,2014,Number,123,uhf408
Jamaica,5 to 17 Years,2014,Rate,25.3,uhf408
Kingsbridge - Riverdale,0 to 4 years,2014,Rate,39.8,uhf101
Kingsbridge - Riverdale,0 to 4 years,2014,Number,25,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2014,Number,46,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2014,Rate,38.5,uhf101
Long Island City - Astoria,0 to 4 years,2014,Rate,14.8,uhf401
Long Island City - Astoria,0 to 4 years,2014,Number,17,uhf401
Long Island City - Astoria,5 to 17 Years,2014,Number,50,uhf401
Long Island City - Astoria,5 to 17 Years,2014,Rate,22.8,uhf401
Lower Manhattan,0 to 4 years,2014,Number,2,uhf310
Lower Manhattan,0 to 4 years,2014,Rate,5.4,uhf310
Lower Manhattan,5 to 17 Years,2014,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2014,Rate,19,uhf310
Manhattan,0 to 4 years,2014,Rate,53.9,36061
Manhattan,0 to 4 years,2014,Number,460,36061
Manhattan,5 to 17 Years,2014,Number,482,36061
Manhattan,5 to 17 Years,2014,Rate,30.9,36061
New York City,0 to 4 years,2014,Rate,69.1,3651000
New York City,0 to 4 years,2014,Number,3922,3651000
New York City,5 to 17 Years,2014,Number,4106,3651000
New York City,5 to 17 Years,2014,Rate,33.5,3651000
Northeast Bronx,0 to 4 years,2014,Number,138,uhf102
Northeast Bronx,0 to 4 years,2014,Rate,115.3,uhf102
Northeast Bronx,5 to 17 Years,2014,Number,186,uhf102
Northeast Bronx,5 to 17 Years,2014,Rate,56.6,uhf102
Pelham - Throgs Neck,0 to 4 years,2014,Number,269,uhf104
Pelham - Throgs Neck,0 to 4 years,2014,Rate,126.7,uhf104
Pelham - Throgs Neck,5 to 17 Years,2014,Number,252,uhf104
Pelham - Throgs Neck,5 to 17 Years,2014,Rate,48.9,uhf104
Port  Richmond,0 to 4 years,2014,Rate,45.5,uhf501
Port  Richmond,0 to 4 years,2014,Number,24,uhf501
Port  Richmond,5 to 17 Years,2014,Number,43,uhf501
Port  Richmond,5 to 17 Years,2014,Rate,32.3,uhf501
Queens,0 to 4 years,2014,Number,654,36081
Queens,0 to 4 years,2014,Rate,44.7,36081
Queens,5 to 17 Years,2014,Number,663,36081
Queens,5 to 17 Years,2014,Rate,20.4,36081
Ridgewood - Forest Hills,0 to 4 years,2014,Rate,40.7,uhf405
Ridgewood - Forest Hills,0 to 4 years,2014,Number,65,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2014,Number,44,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2014,Rate,13.5,uhf405
Rockaway,0 to 4 years,2014,Number,50,uhf410
Rockaway,0 to 4 years,2014,Rate,52.8,uhf410
Rockaway,5 to 17 Years,2014,Number,50,uhf410
Rockaway,5 to 17 Years,2014,Rate,23,uhf410
South Beach - Tottenville,0 to 4 years,2014,Number,21,uhf504
South Beach - Tottenville,0 to 4 years,2014,Rate,21,uhf504
South Beach - Tottenville,5 to 17 Years,2014,Number,19,uhf504
South Beach - Tottenville,5 to 17 Years,2014,Rate,6.1,uhf504
Southeast Queens,0 to 4 years,2014,Rate,56.8,uhf409
Southeast Queens,0 to 4 years,2014,Number,63,uhf409
Southeast Queens,5 to 17 Years,2014,Number,99,uhf409
Southeast Queens,5 to 17 Years,2014,Rate,31.9,uhf409
Southwest Queens,0 to 4 years,2014,Rate,61.1,uhf407
Southwest Queens,0 to 4 years,2014,Number,109,uhf407
Southwest Queens,5 to 17 Years,2014,Number,100,uhf407
Southwest Queens,5 to 17 Years,2014,Rate,21.2,uhf407
Stapleton - St. George,0 to 4 years,2014,Number,36,uhf502
Stapleton - St. George,0 to 4 years,2014,Rate,47.8,uhf502
Stapleton - St. George,5 to 17 Years,2014,Number,44,uhf502
Stapleton - St. George,5 to 17 Years,2014,Rate,22.1,uhf502
Staten Island,0 to 4 years,2014,Rate,33.4,36085
Staten Island,0 to 4 years,2014,Number,92,36085
Staten Island,5 to 17 Years,2014,Number,115,36085
Staten Island,5 to 17 Years,2014,Rate,14.8,36085
Sunset Park,0 to 4 years,2014,Number,30,uhf205
Sunset Park,0 to 4 years,2014,Rate,25.9,uhf205
Sunset Park,5 to 17 Years,2014,Number,24,uhf205
Sunset Park,5 to 17 Years,2014,Rate,12,uhf205
Union Square - Lower East Side,0 to 4 years,2014,Rate,31.2,uhf309
Union Square - Lower East Side,0 to 4 years,2014,Number,26,uhf309
Union Square - Lower East Side,5 to 17 Years,2014,Number,31,uhf309
Union Square - Lower East Side,5 to 17 Years,2014,Rate,19.3,uhf309
Upper East Side,0 to 4 years,2014,Rate,14.6,uhf305
Upper East Side,0 to 4 years,2014,Number,18,uhf305
Upper East Side,5 to 17 Years,2014,Number,22,uhf305
Upper East Side,5 to 17 Years,2014,Rate,10.8,uhf305
Upper West Side,0 to 4 years,2014,Number,36,uhf304
Upper West Side,0 to 4 years,2014,Rate,28.4,uhf304
Upper West Side,5 to 17 Years,2014,Number,28,uhf304
Upper West Side,5 to 17 Years,2014,Rate,13.8,uhf304
Washington Heights - Inwood,0 to 4 years,2014,Rate,66.9,uhf301
Washington Heights - Inwood,0 to 4 years,2014,Number,105,uhf301
Washington Heights - Inwood,5 to 17 Years,2014,Number,112,uhf301
Washington Heights - Inwood,5 to 17 Years,2014,Rate,32.8,uhf301
West Queens,0 to 4 years,2014,Number,120,uhf402
West Queens,0 to 4 years,2014,Rate,33.8,uhf402
West Queens,5 to 17 Years,2014,Number,129,uhf402
West Queens,5 to 17 Years,2014,Rate,19.8,uhf402
Williamsburg - Bushwick,0 to 4 years,2014,Number,135,uhf211
Williamsburg - Bushwick,0 to 4 years,2014,Rate,77.6,uhf211
Williamsburg - Bushwick,5 to 17 Years,2014,Number,157,uhf211
Williamsburg - Bushwick,5 to 17 Years,2014,Rate,40.7,uhf211
Willowbrook,0 to 4 years,2014,Rate,23.4,uhf503
Willowbrook,0 to 4 years,2014,Number,11,uhf503
Willowbrook,5 to 17 Years,2014,Number,0,uhf503
Willowbrook,5 to 17 Years,2014,Rate,6.1,uhf503
Bayside - Little Neck,0 to 4 years,2015,Number,8,uhf404
Bayside - Little Neck,0 to 4 years,2015,Rate,17.1,uhf404
Bayside - Little Neck,5 to 17 Years,2015,Number,11,uhf404
Bayside - Little Neck,5 to 17 Years,2015,Rate,8.6,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2015,Number,254,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2015,Rate,109.2,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2015,Number,252,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2015,Rate,49.4,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2015,Number,13,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2015,Rate,9.4,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2015,Number,14,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2015,Rate,4.8,uhf209
Borough Park,0 to 4 years,2015,Rate,15.1,uhf206
Borough Park,0 to 4 years,2015,Number,53,uhf206
Borough Park,5 to 17 Years,2015,Number,22,uhf206
Borough Park,5 to 17 Years,2015,Rate,3.2,uhf206
Bronx,0 to 4 years,2015,Rate,130.2,36005
Bronx,0 to 4 years,2015,Number,1407,36005
Bronx,5 to 17 Years,2015,Number,1489,36005
Bronx,5 to 17 Years,2015,Rate,57.6,36005
Brooklyn,0 to 4 years,2015,Rate,52,36047
Brooklyn,0 to 4 years,2015,Number,1023,36047
Brooklyn,5 to 17 Years,2015,Number,994,36047
Brooklyn,5 to 17 Years,2015,Rate,24.3,36047
Canarsie - Flatlands,0 to 4 years,2015,Rate,75.7,uhf208
Canarsie - Flatlands,0 to 4 years,2015,Number,94,uhf208
Canarsie - Flatlands,5 to 17 Years,2015,Number,85,uhf208
Canarsie - Flatlands,5 to 17 Years,2015,Rate,25.7,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2015,Number,123,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2015,Rate,115.2,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2015,Number,111,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2015,Rate,46.9,uhf302
Chelsea - Clinton,0 to 4 years,2015,Number,10,uhf306
Chelsea - Clinton,0 to 4 years,2015,Rate,19.3,uhf306
Chelsea - Clinton,5 to 17 Years,2015,Number,11,uhf306
Chelsea - Clinton,5 to 17 Years,2015,Rate,14.8,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2015,Rate,14.1,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2015,Number,25,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2015,Number,33,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2015,Rate,8.2,uhf210
Crotona - Tremont,0 to 4 years,2015,Rate,129.9,uhf105
Crotona - Tremont,0 to 4 years,2015,Number,242,uhf105
Crotona - Tremont,5 to 17 Years,2015,Number,221,uhf105
Crotona - Tremont,5 to 17 Years,2015,Rate,50.3,uhf105
Downtown  - Heights - Slope,0 to 4 years,2015,Rate,28.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2015,Number,57,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2015,Number,57,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2015,Rate,20.5,uhf202
East Flatbush - Flatbush,0 to 4 years,2015,Number,205,uhf207
East Flatbush - Flatbush,0 to 4 years,2015,Rate,103.2,uhf207
East Flatbush - Flatbush,5 to 17 Years,2015,Number,208,uhf207
East Flatbush - Flatbush,5 to 17 Years,2015,Rate,45.8,uhf207
East Harlem,0 to 4 years,2015,Rate,122.4,uhf303
East Harlem,0 to 4 years,2015,Number,87,uhf303
East Harlem,5 to 17 Years,2015,Number,110,uhf303
East Harlem,5 to 17 Years,2015,Rate,66.5,uhf303
East New York,0 to 4 years,2015,Rate,132.4,uhf204
East New York,0 to 4 years,2015,Number,193,uhf204
East New York,5 to 17 Years,2015,Number,156,uhf204
East New York,5 to 17 Years,2015,Rate,43.4,uhf204
Flushing - Clearview,0 to 4 years,2015,Rate,26.2,uhf403
Flushing - Clearview,0 to 4 years,2015,Number,37,uhf403
Flushing - Clearview,5 to 17 Years,2015,Number,33,uhf403
Flushing - Clearview,5 to 17 Years,2015,Rate,10.7,uhf403
Fordham - Bronx Park,0 to 4 years,2015,Rate,126.7,uhf103
Fordham - Bronx Park,0 to 4 years,2015,Number,260,uhf103
Fordham - Bronx Park,5 to 17 Years,2015,Number,288,uhf103
Fordham - Bronx Park,5 to 17 Years,2015,Rate,61.9,uhf103
Fresh Meadows,0 to 4 years,2015,Number,28,uhf406
Fresh Meadows,0 to 4 years,2015,Rate,38.9,uhf406
Fresh Meadows,5 to 17 Years,2015,Number,29,uhf406
Fresh Meadows,5 to 17 Years,2015,Rate,20,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2015,Rate,10.9,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2015,Number,5,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2015,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2015,Rate,7,uhf307
Greenpoint,0 to 4 years,2015,Number,16,uhf201
Greenpoint,0 to 4 years,2015,Rate,13.8,uhf201
Greenpoint,5 to 17 Years,2015,Number,11,uhf201
Greenpoint,5 to 17 Years,2015,Rate,5.6,uhf201
Greenwich Village - Soho,0 to 4 years,2015,Number,1,uhf308
Greenwich Village - Soho,0 to 4 years,2015,Rate,2.9,uhf308
Greenwich Village - Soho,5 to 17 Years,2015,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2015,Rate,5.5,uhf308
High Bridge - Morrisania,0 to 4 years,2015,Number,290,uhf106
High Bridge - Morrisania,0 to 4 years,2015,Rate,158.7,uhf106
High Bridge - Morrisania,5 to 17 Years,2015,Number,284,uhf106
High Bridge - Morrisania,5 to 17 Years,2015,Rate,65.2,uhf106
Hunts Point - Mott Haven,0 to 4 years,2015,Rate,180.4,uhf107
Hunts Point - Mott Haven,0 to 4 years,2015,Number,218,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2015,Number,213,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2015,Rate,73.1,uhf107
Jamaica,0 to 4 years,2015,Number,143,uhf408
Jamaica,0 to 4 years,2015,Rate,71.3,uhf408
Jamaica,5 to 17 Years,2015,Number,118,uhf408
Jamaica,5 to 17 Years,2015,Rate,24.4,uhf408
Kingsbridge - Riverdale,0 to 4 years,2015,Rate,51.5,uhf101
Kingsbridge - Riverdale,0 to 4 years,2015,Number,31,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2015,Number,29,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2015,Rate,24.1,uhf101
Long Island City - Astoria,0 to 4 years,2015,Rate,19.5,uhf401
Long Island City - Astoria,0 to 4 years,2015,Number,22,uhf401
Long Island City - Astoria,5 to 17 Years,2015,Number,25,uhf401
Long Island City - Astoria,5 to 17 Years,2015,Rate,11.3,uhf401
Lower Manhattan,0 to 4 years,2015,Number,4,uhf310
Lower Manhattan,0 to 4 years,2015,Rate,10.4,uhf310
Lower Manhattan,5 to 17 Years,2015,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2015,Rate,11.6,uhf310
Manhattan,0 to 4 years,2015,Number,400,36061
Manhattan,0 to 4 years,2015,Rate,48.5,36061
Manhattan,5 to 17 Years,2015,Number,421,36061
Manhattan,5 to 17 Years,2015,Rate,26.8,36061
New York City,0 to 4 years,2015,Rate,62.6,3651000
New York City,0 to 4 years,2015,Number,3514,3651000
New York City,5 to 17 Years,2015,Number,3547,3651000
New York City,5 to 17 Years,2015,Rate,28.9,3651000
Northeast Bronx,0 to 4 years,2015,Number,108,uhf102
Northeast Bronx,0 to 4 years,2015,Rate,88.4,uhf102
Northeast Bronx,5 to 17 Years,2015,Number,160,uhf102
Northeast Bronx,5 to 17 Years,2015,Rate,48.8,uhf102
Pelham - Throgs Neck,0 to 4 years,2015,Number,258,uhf104
Pelham - Throgs Neck,0 to 4 years,2015,Rate,123.7,uhf104
Pelham - Throgs Neck,5 to 17 Years,2015,Number,265,uhf104
Pelham - Throgs Neck,5 to 17 Years,2015,Rate,51.1,uhf104
Port  Richmond,0 to 4 years,2015,Rate,65.3,uhf501
Port  Richmond,0 to 4 years,2015,Number,31,uhf501
Port  Richmond,5 to 17 Years,2015,Number,37,uhf501
Port  Richmond,5 to 17 Years,2015,Rate,27.9,uhf501
Queens,0 to 4 years,2015,Rate,41,36081
Queens,0 to 4 years,2015,Number,602,36081
Queens,5 to 17 Years,2015,Number,540,36081
Queens,5 to 17 Years,2015,Rate,16.6,36081
Ridgewood - Forest Hills,0 to 4 years,2015,Rate,34.7,uhf405
Ridgewood - Forest Hills,0 to 4 years,2015,Number,56,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2015,Number,39,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2015,Rate,12,uhf405
Rockaway,0 to 4 years,2015,Number,40,uhf410
Rockaway,0 to 4 years,2015,Rate,41.3,uhf410
Rockaway,5 to 17 Years,2015,Number,46,uhf410
Rockaway,5 to 17 Years,2015,Rate,21.3,uhf410
South Beach - Tottenville,0 to 4 years,2015,Number,11,uhf504
